id,name,manufacturer,country,category,role,engineType,enginesCount,wingspan,length,height,payload,description,recognitionTips
a350-1000-airbus,Airbus A350-1000,Airbus,Europe,Civil Jet Airliners,Long-courrier très grande capacité,Turbofan,2,64.8 m,73.8 m,17.1 m,440 passagers,La plus grande version de l'A350 dotée d'un fuselage allongé et d'un train principal à six roues.,Train d'atterrissage principal à 6 roues|Fuselage très long|Masque noir de cockpit
777-200lr-boeing,Boeing 777-200LR,Boeing,USA,Civil Jet Airliners,Long-courrier ultra-long rayon,Turbofan,2,64.8 m,63.7 m,18.6 m,317 passagers,Surnommé Worldliner c'est l'un des avions ayant la plus grande autonomie au monde.,Bimoteur géant|Extrémités d'ailes biseautées|Fuselage large
dash8-q400-dhc,Bombardier Dash 8-Q400,De Havilland Canada,Canada,Civil Turboprop Airliners,Transport régional rapide,Turboprop,2,28.4 m,32.8 m,8.3 m,90 passagers,Turbopropulseur moderne réputé pour sa vitesse proche de celle d'un jet et son système de réduction de bruit.,Fuselage très long et fin|Moteurs à hélices à 6 pales|Train d'atterrissage long
falcon-7x-dassault,Dassault Falcon 7X,Dassault,France,Private Executive Aircraft,Jet d'affaires long-courrier,Turbofan,3,26.2 m,23.2 m,7.8 m,16 passagers,Premier jet d'affaires au monde équipé de commandes de vol numériques fly-by-wire.,Trois moteurs à l'arrière|Winglets intégrés|Silhouette élégante tri-réacteur
g550-eitam-iai,IAI G550 Eitam,IAI/Gulfstream,Israël,Combat Support Aircraft,Alerte avancée (AEW&C),Turbofan,2,28.5 m,29.4 m,7.9 m,N/A,Jet d'affaires modifié avec des radars conformes latéraux pour la surveillance aérienne et maritime.,Radars larges sur les flancs|Nez et queue bulbeux|Basé sur le Gulfstream G550
m346-fa-leonardo,Leonardo M-346FA,Leonardo,Italie,Combat Aircraft,Attaque légère et chasse,Turbofan,2,9.7 m,11.5 m,4.8 m,"3 000 kg",Variante de combat de l'entraîneur M-346 équipée d'un radar Grifo et de points d'emport renforcés.,Nez avec radar|Points d'emport en bout d'aile|Silhouette compacte bimoteur
aw249-fenice,Leonardo AW249 Fenice,Leonardo,Italie,Helicopters,Hélicoptère d'attaque,Turbine,2,14.6 m,17.6 m,N/A,"2 800 kg",Nouvel hélicoptère d'attaque italien conçu pour remplacer l'A129 Mangusta.,Silhouette angulaire moderne|Cockpit en tandem|Canon sous le nez
ka62-kamov,Kamov Ka-62,Kamov,Russie,Helicopters,Transport utilitaire moyen,Turbine,2,13.5 m,15.7 m,4.5 m,"2 500 kg",Version civile du Ka-60 dotée d'un rotor de queue caréné et d'une conception moderne.,Rotor de queue Fenestron|Nez pointu|Rotor principal à 5 pales
e145-h-aewc,Embraer E-99 / R-99,Embraer,Brésil,Combat Support Aircraft,Surveillance et renseignement,Turbofan,2,20.0 m,28.4 m,6.8 m,N/A,Avion radar basé sur l'ERJ-145 utilisé par plusieurs forces aériennes pour la surveillance.,Antenne rectangulaire sur le dos|Silhouette de jet régional|Moteurs à l'arrière
hawk-t2-bae,BAE Systems Hawk T2,BAE Systems,UK,Combat Training Aircraft,Entraîneur avancé numérique,Adour,1,9.9 m,12.4 m,4.0 m,N/A,Version moderne du Hawk avec un cockpit tout écran simulant les chasseurs de 5e génération.,Nez allongé|Cockpit moderne|Silhouette classique de Hawk
x2-shinshin,Mitsubishi X-2 Shinshin,Mitsubishi,Japon,Combat Aircraft,Démonstrateur technologique,Turbofan,2,9.1 m,14.2 m,4.5 m,Prototype,Appareil expérimental pour tester la furtivité et la super-maniabilité japonaise.,Tuyères à pétales|Petite taille|Double dérive inclinée
tedbf-hal,HAL TEDBF,HAL,Inde,Combat Aircraft,Chasseur embarqué (Prototype),Turbofan,2,11.2 m,16.3 m,N/A,Classifié,Futur chasseur bimoteur destiné aux porte-avions de la marine indienne.,Plans canards|Aile delta|Double moteur
h175m-airbus,Airbus H175M,Airbus Helicopters,France,Helicopters,Transport militaire moyen,Turbine,2,14.8 m,15.7 m,5.3 m,18 troupes,Version militaire du H175 destinée au transport de troupes et aux forces spéciales.,Nez court|Grandes vitres latérales|Livrée militaire mate
737-max-9-boeing,Boeing 737 MAX 9,Boeing,USA,Civil Jet Airliners,Moyen-courrier monocouloir,Turbofan,2,35.9 m,42.1 m,12.3 m,220 passagers,Variante allongée du MAX 8 offrant une plus grande capacité de transport.,Winglets en V scindé|Fuselage long|Moteurs à chevrons
e2d-hawkeye-ng,Northrop Grumman E-2D,Northrop Grumman,USA,Combat Support Aircraft,Alerte avancée embarquée,Turboprop,2,24.6 m,17.6 m,5.6 m,N/A,Version 'Advanced Hawkeye' dotée d'un nouveau radar AESA et d'un cockpit numérique.,Grand dôme radar rotatif|Hélices à 8 pales|Quatre dérives verticales
switchblade-600,AeroVironment Switchblade 600,AeroVironment,USA,Unmanned Aerial Vehicle (UAV),Munition téléopérée anti-char,Électrique,1,1.3 m,N/A,N/A,"22 kg",Drone suicide portable capable de détruire des blindés lourds à longue distance.,Ailes déployables en tandem|Nez avec caméra et charge|Petit moteur électrique
altius-600-anduril,Anduril ALTIUS-600,Anduril,USA,Unmanned Aerial Vehicle (UAV),Drone polyvalent lancé par tube,Électrique,1,2.5 m,1.0 m,N/A,"3-7 kg",Drone modulaire lancé depuis un tube pour des missions de renseignement ou de frappe.,Ailes fines dépliables|Lancé par tube|Hélice propulsive
corvo-pp-sypaq,SYPAQ Corvo PP,SYPAQ,Australie,Unmanned Aerial Vehicle (UAV),Drone cargo/suicide en carton,Électrique,1,2.0 m,1.0 m,N/A,"5 kg",Drone 'low-cost' fabriqué en carton pliable, utilisé pour la livraison ou les frappes.,Structure en carton visible|Design plat et rectangulaire|Usage unique
kfir-ng-block60,IAI Kfir NG (Block 60),IAI,Israël,Combat Aircraft,Chasseur multirôle modernisé,Turbojet,1,8.2 m,15.6 m,4.5 m,"6 000 kg",Modernisation ultime du Kfir avec radar AESA et liaison de données avancée.,Silhouette de Mirage à canards|Long nez (radar AESA)|Une seule tuyère arrière
phantom-eye,Boeing Phantom Eye,Boeing,USA,Unmanned Aerial Vehicle (UAV),Surveillance HALE hydrogène,Hydrogène,2,46.0 m,N/A,N/A,"200 kg",Drone expérimental utilisant l'hydrogène liquide pour une endurance extrême en haute altitude.,Fuselage bulbeux massif|Ailes très longues|Hélices propulsives